"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2000",30.79,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2001",26.61,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2002",25.8,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2003",31.24,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2004",40.93,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2005",56.71,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2006",66.71,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2007",77.13,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2008",107.83,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2009",63.4,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2010",82.6,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2011",115.66,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2012",117.78,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2013",114.19,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2014",107.05,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2015",57.9,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2016",46.87,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2017",56.99,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2018",76.03,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2019",70.21,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2020",50.21,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2021",72.04,
"AUS","OILIMPPRICE","TOT","USD_BAR","A","2022",110.68,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2000",29.39,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2001",25.32,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2002",24.64,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2003",29.59,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2004",38.21,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2005",53.15,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2006",64.44,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2007",71.86,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2008",103.05,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2009",60.69,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2010",80,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2011",110.92,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2012",112.5,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2013",110.63,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2014",103.81,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2015",55.52,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2016",42.89,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2017",54.73,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2018",71.12,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2019",64.52,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2020",43.67,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2021",68.98,
"AUT","OILIMPPRICE","TOT","USD_BAR","A","2022",97.93,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2000",27.87,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2001",24.2,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2002",24.35,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2003",27.72,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2004",35.35,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2005",50.06,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2006",61.06,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2007",70.35,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2008",96.01,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2009",61.77,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2010",79.65,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2011",110.5,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2012",110.83,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2013",108.45,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2014",98.49,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2015",51.65,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2016",42.06,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2017",53.01,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2018",70.57,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2019",63.78,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2020",41.29,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2021",70.44,
"BEL","OILIMPPRICE","TOT","USD_BAR","A","2022",103.09,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2000",29.1,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2001",24.87,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2002",24.97,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2003",29.53,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2004",38.13,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2005",52.37,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2006",64.33,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2007",70.04,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2008",101.41,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2009",60.29,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2010",79.14,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2011",110.8,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2012",110.61,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2013",108.6,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2014",98.6,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2015",53.48,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2016",43.6,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2017",54.3,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2018",70.88,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2019",63.12,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2020",45.79,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2021",69.44,
"CAN","OILIMPPRICE","TOT","USD_BAR","A","2022",104.16,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2000",26.59,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2001",23.74,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2002",23.37,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2003",28.13,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2004",34.82,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2005",51.28,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2006",62.05,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2007",68.54,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2008",97.71,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2009",60.77,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2010",79.04,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2011",110.42,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2012",112.33,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2013",110.26,
"CZE","OILIMPPRICE","TOT","USD_BAR","A","2014",102.13,
